City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,oamaru,-45.0784,170.9801,6.88,86,100,3.68,NZ,1697125098
274,kem',64.9555,34.5793,2.81,96,100,6.27,RU,1697125099
275,purpe,64.4803,76.6897,1.49,99,100,3.68,RU,1697125099
276,digras,20.1167,77.7167,26.75,55,49,1.89,IN,1697125099
277,den burg,53.0542,4.7972,13.87,90,100,5.14,NL,1697125099
278,kokomo,40.4864,-86.1336,20.11,94,100,3.09,US,1697124881
279,kavaratti,10.5669,72.642,27.84,74,100,2.05,IN,1697125099
280,oranjemund,-28.55,16.4333,16.57,77,0,6.32,NA,1697125099
281,tateyama,34.9833,139.8667,17.83,64,43,4.32,JP,1697125099
282,robertsport,6.7533,-11.3686,26.85,81,79,3.72,LR,1697125100
283,freetown,8.484,-13.2299,28.63,72,74,3.2,SL,1697125100
284,kabwe,-14.4469,28.4464,30.95,22,80,3.76,ZM,1697125100
285,aykhal,66.0,111.5,-4.41,78,81,4.92,RU,1697125100
286,saint-joseph,-21.3667,55.6167,24.21,82,70,2.8,RE,1697124999
287,nadi,-17.8,177.4167,22.0,83,20,2.06,FJ,1697124941
288,mugia,43.1041,-9.2179,26.76,66,100,9.05,ES,1697125100
289,utrik,11.2278,169.8474,27.79,73,63,4.88,MH,1697125100
290,jiayuguan,39.8167,98.3,11.36,28,73,2.0,CN,1697125100
291,greenland,43.0362,-70.8328,19.6,63,75,2.06,US,1697125101
292,qarshi,38.8667,65.8,17.9,48,40,5.14,UZ,1697125101
293,whitecourt,54.1502,-115.6855,2.58,100,20,2.06,CA,1697125101
294,turochak,52.2576,87.1224,10.36,87,100,0.77,RU,1697125101
295,cockburn town,21.4612,-71.1419,29.26,74,100,6.83,TC,1697125101
296,ribe,55.3305,8.7697,13.85,67,36,3.74,DK,1697125101
297,katsuren-haebaru,26.3369,127.8719,25.01,69,20,4.12,JP,1697125101
298,daru,-9.0763,143.2092,24.85,94,99,5.53,PG,1697125101
299,taroa,8.7058,171.2275,27.61,79,58,3.68,MH,1697125102
300,hun,29.1268,15.9477,27.66,26,3,3.15,LY,1697125102
301,mejit,10.2753,170.8646,27.53,79,71,3.74,MH,1697125102
302,ujae,8.9322,165.7642,28.01,77,47,2.46,MH,1697125102
303,saint-francois,46.4154,3.9054,26.69,39,0,1.54,FR,1697125102
304,cannonvale,-20.2833,148.7,21.66,73,23,4.6,AU,1697125102
305,naze,28.3667,129.4833,22.51,72,68,6.51,JP,1697125102
306,bobo-dioulasso,11.1771,-4.2979,26.25,73,40,4.12,BF,1697125102
307,dwarka,22.2394,68.9678,27.76,71,0,4.15,IN,1697125103
